"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"796","43000384",56,35,68,48.3333333333333,40,65,56.6666666666667,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","43011082",30,15,40,31.6666666666667,20,40,25,15,40,38.3333333333333,15,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","43025963",15,10,20,31.6666666666667,15,40,17.5,15,20,16.6666666666667,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","43030246",58.3333333333333,30,85,30,15,40,36.6666666666667,35,40,56.6666666666667,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","43033841",45,35,65,33.3333333333333,30,40,48.3333333333333,15,65,36.6666666666667,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","43034542",15,15,15,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","43036224",71.6666666666667,65,85,47.6666666666667,35,68,30,30,30,35,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","43044407",27.5,15,40,36.25,30,40,22.5,15,30,25,15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","43057779",15,15,15,NA,NA,NA,20,20,20,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","43062092",NA,NA,NA,15,15,15,NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","43065696",13.3333333333333,10,15,53.3333333333333,35,65,22.5,15,30,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","43066439",68.6666666666667,61,80,55,40,65,30,10,40,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
